brand,price,old,brake,drivetrain,material
스페셜라이즈드 ,3500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,5000000,2018,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,7000000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
자이언트 ,100000,2013,림 브레이크,SHIMANO CLARIS,카본+알루미늄
기타 ,1400000,2017,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,2800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,2000000,2016,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,3200000,2019,디스크 브레이크,SHIMANO 105,카본
리들리 ,4000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,2000000,2018,림 브레이크,SHIMANO ULTEGRA,카본+알루미늄
메리다 ,350000,2016,림 브레이크,SHIMANO SORA,카본
위아위스 ,3350000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,10500000,2019,디스크 브레이크,SHIMANO DURA-ACE,카본
비앙키 ,3800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
위아위스 ,4500000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
기타 ,1300000,2020,림 브레이크,SHIMANO 105,카본
포커스 ,2200000,2013,림 브레이크,SRAM RED,카본
메리다 ,1700000,2016,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,790000,2020,림 브레이크,SHIMANO SORA,알루미늄
비앙키 ,1500000,2021,림 브레이크,기타,카본+알루미늄
리들리 ,4800000,2018,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,7950000,2020,디스크 브레이크,SHIMANO DURA-ACE,카본
메리다 ,520000,2016,림 브레이크,SHIMANO SORA,알루미늄
자이언트 ,1500000,2017,림 브레이크,SHIMANO 105,카본
트렉 ,3300000,2021,디스크 브레이크,SHIMANO 105,카본
닐프라이드 ,2000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,12300000,2021,디스크 브레이크,SRAM RED eTAP,카본
스페셜라이즈드 ,8000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,3400000,2020,디스크 브레이크,SHIMANO 105,카본
기타 ,1900000,2019,림 브레이크,SHIMANO 105,카본
자이언트 ,3400000,2021,디스크 브레이크,SHIMANO 105,카본
서벨로 ,6500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
비앙키 ,600000,2015,림 브레이크,기타,알루미늄
서벨로 ,10600000,2021,디스크 브레이크,SRAM RED eTap AXS,카본
포커스 ,8500000,2019,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,4100000,2021,디스크 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2700000,2019,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,450000,2019,림 브레이크,SHIMANO CLARIS,카본+알루미늄
트렉 ,8000000,2020,디스크 브레이크,SHIMANO DURA-ACE,카본
첼로 ,1800000,2021,림 브레이크,SHIMANO 105,카본
